,latitude,longitude,elevation
7208,48.817535,-114.38054,1213
7209,48.816981,-114.380931,1210
7210,48.818275,-114.394824,1241
7211,48.81747,-114.397405,1243
7212,48.81614,-114.398671,1243
7213,48.815025,-114.403438,1256
7214,48.813291,-114.405064,1268
7215,48.810032,-114.425582,1296
7216,48.807846,-114.430806,1307
7217,48.805666,-114.437762,1319
7218,48.803839,-114.439998,1332
7219,48.802208,-114.443061,1345
7220,48.800778,-114.449431,1356
7221,48.800307,-114.458725,1363
7222,48.798974,-114.463979,1374
7223,48.798991,-114.465939,1372
7224,48.796101,-114.478773,1387
7225,48.795217,-114.486315,1376
7226,48.793703,-114.491136,1389
7227,48.790382,-114.495813,1409
7228,48.790018,-114.499286,1398
7229,48.785843,-114.510814,1425
7230,48.782582,-114.517503,1440
7231,48.781933,-114.520925,1437
7232,48.775793,-114.529899,1461
7233,48.774737,-114.532972,1458
7234,48.775964,-114.538832,1466
7235,48.775952,-114.540395,1472
7236,48.771109,-114.552785,1539
7237,48.768433,-114.55265,1561
7238,48.766395,-114.55673,1587
7239,48.766623,-114.55956,1609
7240,48.765978,-114.560304,1610
7241,48.767087,-114.561207,1623
7242,48.767093,-114.561907,1630
7243,48.765406,-114.563512,1644
7244,48.763288,-114.563388,1666
7245,48.761493,-114.561177,1684
7246,48.760281,-114.561039,1690
7247,48.759163,-114.561976,1691
7248,48.756744,-114.562702,1691
7249,48.75509,-114.564096,1693
7250,48.753701,-114.563553,1695
7251,48.752432,-114.565213,1700
7252,48.751827,-114.567411,1697
7253,48.750966,-114.568173,1698
7254,48.750757,-114.569459,1701
7255,48.751371,-114.572259,1715
7256,48.749616,-114.571953,1696
7257,48.748713,-114.570967,1691
7258,48.748124,-114.571406,1681
7259,48.744907,-114.570061,1655
7260,48.742221,-114.570362,1618
7261,48.739566,-114.568897,1585
7262,48.736437,-114.571244,1553
7263,48.73255,-114.57754,1486
7264,48.731484,-114.578463,1474
7265,48.730101,-114.578748,1471
7266,48.727034,-114.581597,1453
7267,48.726715,-114.582472,1451
7268,48.722129,-114.586143,1442
7269,48.72116,-114.587561,1438
7270,48.717226,-114.58961,1425
7271,48.71291,-114.58988,1390
7272,48.710216,-114.58885,1378
7273,48.705287,-114.584436,1382
7274,48.70428,-114.582772,1386
7275,48.69697,-114.580606,1363
7276,48.693807,-114.579084,1359
7277,48.689734,-114.576035,1361
7278,48.683964,-114.574214,1350
7279,48.683938,-114.575126,1350
7280,48.679292,-114.57123,1351
7281,48.673283,-114.568214,1345
7282,48.670931,-114.566447,1332
7283,48.663399,-114.558671,1309
7284,48.662028,-114.557864,1307
7285,48.656674,-114.552485,1284
7286,48.655309,-114.550217,1277
7287,48.652425,-114.548329,1272
7288,48.645677,-114.546888,1271
7289,48.642564,-114.543573,1284
7290,48.641646,-114.54166,1275
7291,48.63911,-114.540293,1258
7292,48.636542,-114.536747,1258
7293,48.635776,-114.534508,1262
7294,48.632848,-114.531951,1248
7295,48.629204,-114.527197,1244
7296,48.626193,-114.528475,1238
7297,48.624019,-114.524758,1243
7298,48.623482,-114.519525,1245
7299,48.621632,-114.517952,1247
7300,48.620932,-114.516049,1249
7301,48.618291,-114.513224,1249
7302,48.616764,-114.508995,1261
7303,48.611352,-114.502886,1250
7304,48.607032,-114.494635,1253
7305,48.606013,-114.494824,1250
7306,48.604653,-114.494039,1242
7307,48.601737,-114.49023,1223
7308,48.600622,-114.48986,1221
7309,48.599422,-114.487614,1223
7310,48.590498,-114.475344,1230
7311,48.587913,-114.474579,1219
7312,48.587179,-114.475637,1211
7313,48.585937,-114.475082,1214
7314,48.584926,-114.473043,1219
7315,48.579975,-114.470799,1235
7316,48.574478,-114.463638,1248
7317,48.572246,-114.462614,1243
7318,48.571554,-114.461246,1241
7319,48.56969,-114.460505,1245
7320,48.569103,-114.459273,1249
7321,48.565841,-114.457917,1235
7322,48.564534,-114.456252,1226
7323,48.560703,-114.454531,1215
