,latitude,longitude,elevation
167,50.747767,-115.243489,1842.02002
168,50.745704,-115.235915,1880.0
169,50.739084,-115.225975,1936.22998
170,50.73859,-115.224475,1939.119995
171,50.73384,-115.22007,1892.969971
172,50.727463,-115.212079,1875.670044
173,50.723588,-115.208921,1846.829956
174,50.720665,-115.207988,1821.349976
175,50.71824,-115.205273,1806.939941
176,50.71627,-115.202064,1816.069946
177,50.712706,-115.198728,1812.699951
178,50.710207,-115.194799,1796.839966
179,50.709058,-115.19396,1795.880005
180,50.707042,-115.190581,1797.800049
181,50.705757,-115.190378,1797.800049
182,50.700755,-115.182887,1820.869995
183,50.699097,-115.175405,1842.02002
184,50.699163,-115.17303,1838.180054
185,50.697479,-115.170182,1825.199951
186,50.696724,-115.166797,1819.910034
187,50.695768,-115.165203,1808.859985
188,50.695042,-115.162061,1803.089966
189,50.693086,-115.158523,1790.589966
190,50.692722,-115.155799,1775.209961
191,50.693083,-115.155315,1769.439941
192,50.691993,-115.152843,1761.75
193,50.691962,-115.151442,1752.140015
194,50.693755,-115.149242,1733.390015
195,50.694559,-115.147125,1737.719971
196,50.693618,-115.144912,1733.880005
197,50.693773,-115.144213,1734.359985
198,50.692342,-115.141197,1730.98999
199,50.692691,-115.138863,1727.150024
200,50.695287,-115.136939,1699.27002
201,50.695114,-115.135732,1688.999023
202,50.69648,-115.134949,1681.442993
203,50.702788,-115.135124,1674.744019
204,50.703865,-115.134534,1673.991943
205,50.705511,-115.132024,1663.935059
206,50.706488,-115.126327,1652.185059
207,50.705641,-115.122816,1641.334961
208,50.699646,-115.11711,1627.019043
209,50.698415,-115.115082,1630.218994
210,50.696371,-115.116438,1637.531006
211,50.688928,-115.113627,1675.954956
212,50.6872,-115.115016,1673.0
213,50.686099,-115.116731,1685.0
214,50.679434,-115.117664,1708.0
215,50.667624,-115.117503,1697.0
216,50.664679,-115.118029,1700.0
217,50.663788,-115.118941,1703.0
218,50.663224,-115.121119,1696.0
219,50.662547,-115.122052,1675.0
220,50.660779,-115.120626,1672.0
221,50.658344,-115.121967,1674.0
222,50.656297,-115.12179,1684.0
223,50.64495,-115.116044,1683.0
224,50.644406,-115.114532,1692.0
225,50.643184,-115.114768,1686.0
226,50.639248,-115.110363,1697.0
227,50.637595,-115.109527,1691.0
228,50.634036,-115.109012,1712.432007
229,50.629583,-115.111883,1720.557983
230,50.626996,-115.112386,1721.312012
231,50.626129,-115.113801,1723.052002
232,50.623753,-115.114826,1725.713013
233,50.621096,-115.114568,1734.542969
234,50.618156,-115.111944,1737.630981
235,50.617145,-115.112179,1729.865967
236,50.617337,-115.111056,1731.921021
237,50.616439,-115.109154,1736.765991
238,50.615391,-115.108618,1740.744019
239,50.612134,-115.103489,1784.583984
240,50.610459,-115.103103,1814.968994
241,50.608564,-115.100729,1820.327026
242,50.60758,-115.102003,1798.307983
243,50.605107,-115.101935,1795.197021
244,50.60307,-115.1007,1797.415039
245,50.605084,-115.09905,1837.19104
246,50.605739,-115.096478,1843.64502
247,50.585969,-115.069508,1947.584961
248,50.582968,-115.067642,1951.369019
249,50.574606,-115.067088,1916.348999
250,50.573148,-115.06592,1920.780029
251,50.571531,-115.065845,1910.58606
252,50.569529,-115.067546,1896.133057
253,50.564745,-115.06832,1870.866943
254,50.562471,-115.068022,1845.217041
255,50.562121,-115.06995,1825.817017
256,50.558623,-115.067951,1786.819946
257,50.555019,-115.067417,1761.067017
258,50.553106,-115.066121,1759.251953
259,50.550319,-115.066354,1749.463013
260,50.549507,-115.064002,1761.425049
261,50.548206,-115.062119,1766.427979
262,50.547031,-115.058778,1764.662964
263,50.54328,-115.0554,1745.052979
264,50.542938,-115.05397,1732.66394
265,50.543307,-115.052051,1729.012939
266,50.54013,-115.04591,1728.892944
267,50.538866,-115.044713,1725.180054
268,50.538526,-115.043196,1727.395996
269,50.534227,-115.036084,1745.953003
270,50.531964,-115.035035,1727.688965
271,50.528229,-115.026375,1734.692993
272,50.527673,-115.023312,1725.118042
273,50.525515,-115.018558,1717.63501
274,50.524712,-115.017946,1719.588013
275,50.523,-115.013908,1717.639038
276,50.523247,-115.011531,1717.517944
277,50.522329,-115.004539,1716.541016
