Long,Lat
-113.797414,47.546566
-113.799509,47.544164
-113.799232,47.543833
-113.797972,47.544168
-113.796374,47.543807
-113.795749,47.543215
-113.795783,47.542425
-113.793179,47.542093
-113.79275,47.54159
-113.794859,47.539512
-113.796325,47.538863
-113.80036,47.535348
-113.801069,47.532936
-113.799739,47.532572
-113.79886,47.530983
-113.801647,47.529054
-113.804745,47.528049
-113.805102,47.527086
-113.806263,47.52645
-113.805191,47.525935
-113.804633,47.523845
-113.805186,47.52296
-113.806919,47.522218
-113.806739,47.518918
-113.805756,47.516705
-113.804749,47.515864
-113.805382,47.514557
-113.803171,47.510721
-113.800509,47.509616
-113.796229,47.509996
-113.795383,47.509692
-113.794006,47.507581
-113.7922,47.50682
-113.791228,47.505638
-113.791075,47.5041
-113.78781,47.503801
-113.785436,47.499889
-113.784483,47.499573
-113.780977,47.500475
-113.776214,47.499784
-113.773918,47.498412
-113.773028,47.49538
-113.770287,47.492992
-113.767779,47.492865
-113.765543,47.494078
-113.759854,47.495001
-113.758733,47.494188
-113.754731,47.4936
-113.75243,47.495342
-113.750409,47.495421
-113.747279,47.494021
-113.74609,47.492632
-113.743832,47.492018
-113.741979,47.491997
-113.740225,47.492943
-113.739351,47.494686
-113.738455,47.494879
-113.73585,47.493262
-113.71697,47.493693
-113.700378,47.484332
-113.700699,47.481955
-113.699657,47.480703
-113.699475,47.46737
-113.697497,47.464062
-113.69749,47.461863
-113.680935,47.462761
-113.673529,47.462547
-113.671507,47.455561
-113.670713,47.439045
-113.669424,47.438689
-113.667083,47.438747
-113.65984,47.437284
-113.643109,47.43739
-113.639982,47.437706
-113.633117,47.439632
-113.622296,47.439369
-113.618997,47.440242
-113.617886,47.441232
-113.616629,47.441138
-113.616715,47.440873
-113.60479,47.441652
-113.60393,47.440992
-113.604167,47.439294
-113.600859,47.438845
-113.59499,47.4371
-113.590637,47.436553
-113.588691,47.435337
-113.588079,47.433157
-113.588327,47.429725
-113.590227,47.426087
-113.591194,47.42549
-113.596678,47.424479
-113.59777,47.423209
-113.603938,47.423334
-113.60663,47.424233
-113.608489,47.425382
-113.611027,47.424635
-113.613845,47.422186
-113.614936,47.422046
-113.616579,47.422585
-113.619065,47.422181
-113.619969,47.421636
-113.616098,47.420969
-113.615277,47.420062
-113.607573,47.418308
-113.60586,47.417043
-113.594482,47.414814
-113.593964,47.415298
-113.591795,47.414987
-113.590283,47.413588
-113.587495,47.413329
-113.584671,47.412368
-113.582148,47.412392
-113.580753,47.411583
-113.579616,47.409946
-113.577292,47.411819
-113.574561,47.411736
-113.571569,47.412256
-113.566956,47.410585
-113.565484,47.412414
-113.560609,47.40871
-113.56129,47.407668
-113.559605,47.405559
-113.55364,47.403386
-113.553161,47.40262
-113.552898,47.398009
-113.550988,47.395541
-113.549752,47.390553
-113.551008,47.385948
-113.549515,47.384471
-113.546914,47.384993
-113.545831,47.384702
-113.545154,47.383611
-113.543084,47.382095
-113.543649,47.380994
-113.542821,47.379605
-113.542554,47.375664
-113.545315,47.375305
-113.546741,47.374179
-113.545986,47.372987
-113.546229,47.370056
-113.545383,47.369632
-113.541618,47.369878
-113.540263,47.369418
-113.539496,47.368589
-113.543042,47.366812
-113.543771,47.364353
-113.542759,47.363852
-113.539766,47.363598
-113.53907,47.362444
-113.5453,47.36111
-113.54619,47.359423
-113.547916,47.35928
-113.54582,47.358653
-113.544722,47.360897
-113.539641,47.361249
-113.537128,47.361043
-113.535316,47.360383
-113.531076,47.356695
-113.530042,47.355157
-113.525836,47.353181
-113.525777,47.352044
-113.524018,47.351157
-113.522547,47.351234
-113.521432,47.350861
-113.519567,47.348758
-113.516325,47.347777
-113.515715,47.3472
-113.512926,47.346288
-113.511331,47.346556
-113.509434,47.345582
-113.508026,47.345755
-113.505089,47.345084
-113.498159,47.342498
-113.502632,47.343298
-113.504099,47.342917
-113.505869,47.343741
-113.507869,47.34385
-113.510447,47.342808
-113.512579,47.343527
-113.51354,47.343069
-113.516691,47.344109
-113.518034,47.343685
-113.519296,47.344509
-113.522319,47.344581
-113.519865,47.344283
-113.519408,47.343513
-113.518334,47.343018
-113.517152,47.343214
-113.514601,47.341588
-113.512473,47.341622
-113.511508,47.340938
-113.509113,47.341285
-113.508,47.340948
-113.50614,47.339509
-113.503465,47.33852
-113.504281,47.336582
-113.503124,47.336306
-113.499903,47.337137
-113.498423,47.338115
-113.496008,47.33686
-113.491661,47.33671
-113.490503,47.337122
-113.489804,47.336881
-113.490191,47.335529
-113.493499,47.334552
-113.490997,47.332596
-113.488667,47.33277
-113.489679,47.329741
-113.491388,47.328935
-113.492361,47.32689
-113.489695,47.325818
-113.488248,47.324501
-113.487113,47.320802
-113.487484,47.319742
-113.488568,47.318819
-113.488333,47.318146
-113.486208,47.317351
-113.486833,47.315129
-113.484986,47.314238
-113.483992,47.31304
-113.483598,47.310618
-113.481701,47.308663
-113.481565,47.303757
-113.484503,47.303477
-113.484918,47.302725
-113.483971,47.29935
-113.483811,47.296048
-113.484733,47.295402
-113.484779,47.292337
-113.481642,47.283981
-113.480871,47.283065
-113.479794,47.28265
-113.478501,47.281206
-113.475425,47.279088
-113.466993,47.275552
-113.464683,47.275165
-113.461527,47.273948
-113.466372,47.277648
-113.463575,47.277612
-113.460984,47.276057
-113.457802,47.273179
-113.457866,47.27246
